type_array,type_sort,n,time
100-4000 step=100 x = 0...5,mergeSort,1600,131883
100-4000 step=100 x = 0...5,mergeSort,1700,140125
100-4000 step=100 x = 0...5,mergeSort,1800,143909
100-4000 step=100 x = 0...5,mergeSort,1900,155084
100-4000 step=100 x = 0...5,mergeSort,2000,163512
100-4000 step=100 x = 0...5,mergeSort,2100,175287
100-4000 step=100 x = 0...5,mergeSort,2200,184991
100-4000 step=100 x = 0...5,mergeSort,2300,195394
100-4000 step=100 x = 0...5,mergeSort,2400,188260
100-4000 step=100 x = 0...5,mergeSort,2500,199209
100-4000 step=100 x = 0...5,mergeSort,2600,217919
100-4000 step=100 x = 0...5,mergeSort,2700,227225
100-4000 step=100 x = 0...5,mergeSort,2800,245847
100-4000 step=100 x = 0...5,mergeSort,2900,247969
100-4000 step=100 x = 0...5,mergeSort,3000,256570
100-4000 step=100 x = 0...5,mergeSort,3100,261814
100-4000 step=100 x = 0...5,mergeSort,3200,273755
100-4000 step=100 x = 0...5,mergeSort,3300,290914
100-4000 step=100 x = 0...5,mergeSort,3400,340618
100-4000 step=100 x = 0...5,mergeSort,3500,283505
100-4000 step=100 x = 0...5,mergeSort,3600,313083
100-4000 step=100 x = 0...5,mergeSort,3700,327170
100-4000 step=100 x = 0...5,mergeSort,3800,340642
100-4000 step=100 x = 0...5,mergeSort,3900,349926
100-4000 step=100 x = 0...5,mergeSort,4000,367457
100-4000 step=100 x = 0...5,mergeSort,4100,376829
100-4000 step=100 x = 0...4000,mergeSort,100,5027
100-4000 step=100 x = 0...4000,mergeSort,200,12561
100-4000 step=100 x = 0...4000,mergeSort,300,20748
100-4000 step=100 x = 0...4000,mergeSort,400,29781
100-4000 step=100 x = 0...4000,mergeSort,500,41864
100-4000 step=100 x = 0...4000,mergeSort,600,52493
100-4000 step=100 x = 0...4000,mergeSort,700,62872
100-4000 step=100 x = 0...4000,mergeSort,800,72932
100-4000 step=100 x = 0...4000,mergeSort,900,83834
100-4000 step=100 x = 0...4000,mergeSort,1000,95767
100-4000 step=100 x = 0...4000,mergeSort,1100,108799
100-4000 step=100 x = 0...4000,mergeSort,1200,120627
100-4000 step=100 x = 0...4000,mergeSort,1300,130212
100-4000 step=100 x = 0...4000,mergeSort,1400,137507
100-4000 step=100 x = 0...4000,mergeSort,1500,158895
100-4000 step=100 x = 0...4000,mergeSort,1600,167468
100-4000 step=100 x = 0...4000,mergeSort,1700,175990
100-4000 step=100 x = 0...4000,mergeSort,1800,189311
100-4000 step=100 x = 0...4000,mergeSort,1900,200781
100-4000 step=100 x = 0...4000,mergeSort,2000,213812
100-4000 step=100 x = 0...4000,mergeSort,2100,227670
100-4000 step=100 x = 0...4000,mergeSort,2200,244133
100-4000 step=100 x = 0...4000,mergeSort,2300,248368
100-4000 step=100 x = 0...4000,mergeSort,2400,248285
100-4000 step=100 x = 0...4000,mergeSort,2500,273386
100-4000 step=100 x = 0...4000,mergeSort,2600,275584
100-4000 step=100 x = 0...4000,mergeSort,2700,296349
100-4000 step=100 x = 0...4000,mergeSort,2800,309578
100-4000 step=100 x = 0...4000,mergeSort,2900,326555
100-4000 step=100 x = 0...4000,mergeSort,3000,332134
100-4000 step=100 x = 0...4000,mergeSort,3100,348929
100-4000 step=100 x = 0...4000,mergeSort,3200,356377
100-4000 step=100 x = 0...4000,mergeSort,3300,377531
100-4000 step=100 x = 0...4000,mergeSort,3400,391416
100-4000 step=100 x = 0...4000,mergeSort,3500,368345
100-4000 step=100 x = 0...4000,mergeSort,3600,408531
100-4000 step=100 x = 0...4000,mergeSort,3700,430382
100-4000 step=100 x = 0...4000,mergeSort,3800,446489
100-4000 step=100 x = 0...4000,mergeSort,3900,469487
100-4000 step=100 x = 0...4000,mergeSort,4000,472120
100-4000 step=100 x = 0...4000,mergeSort,4100,497269
100-4000 step=100 almost (+- 90% sort),mergeSort,100,3724
100-4000 step=100 almost (+- 90% sort),mergeSort,200,8308
100-4000 step=100 almost (+- 90% sort),mergeSort,300,13360
100-4000 step=100 almost (+- 90% sort),mergeSort,400,19595
100-4000 step=100 almost (+- 90% sort),mergeSort,500,24461
100-4000 step=100 almost (+- 90% sort),mergeSort,600,31421
100-4000 step=100 almost (+- 90% sort),mergeSort,700,37194
100-4000 step=100 almost (+- 90% sort),mergeSort,800,42879
100-4000 step=100 almost (+- 90% sort),mergeSort,900,49781
100-4000 step=100 almost (+- 90% sort),mergeSort,1000,56498
100-4000 step=100 almost (+- 90% sort),mergeSort,1100,61697
100-4000 step=100 almost (+- 90% sort),mergeSort,1200,70364
100-4000 step=100 almost (+- 90% sort),mergeSort,1300,79558
100-4000 step=100 almost (+- 90% sort),mergeSort,1400,82171
100-4000 step=100 almost (+- 90% sort),mergeSort,1500,85976
100-4000 step=100 almost (+- 90% sort),mergeSort,1600,93630
100-4000 step=100 almost (+- 90% sort),mergeSort,1700,99534
100-4000 step=100 almost (+- 90% sort),mergeSort,1800,107792
100-4000 step=100 almost (+- 90% sort),mergeSort,1900,117844
100-4000 step=100 almost (+- 90% sort),mergeSort,2000,123037
100-4000 step=100 almost (+- 90% sort),mergeSort,2100,130185
100-4000 step=100 almost (+- 90% sort),mergeSort,2200,136337
100-4000 step=100 almost (+- 90% sort),mergeSort,2300,145389
100-4000 step=100 almost (+- 90% sort),mergeSort,2400,198059
100-4000 step=100 almost (+- 90% sort),mergeSort,2500,145434
100-4000 step=100 almost (+- 90% sort),mergeSort,2600,151304
100-4000 step=100 almost (+- 90% sort),mergeSort,2700,169044
100-4000 step=100 almost (+- 90% sort),mergeSort,2800,176244
100-4000 step=100 almost (+- 90% sort),mergeSort,2900,184989
100-4000 step=100 almost (+- 90% sort),mergeSort,3000,192963
100-4000 step=100 almost (+- 90% sort),mergeSort,3100,196297
100-4000 step=100 almost (+- 90% sort),mergeSort,3200,203657
100-4000 step=100 almost (+- 90% sort),mergeSort,3300,216572
100-4000 step=100 almost (+- 90% sort),mergeSort,3400,224414
100-4000 step=100 almost (+- 90% sort),mergeSort,3500,215325
100-4000 step=100 almost (+- 90% sort),mergeSort,3600,220331
100-4000 step=100 almost (+- 90% sort),mergeSort,3700,245042
100-4000 step=100 almost (+- 90% sort),mergeSort,3800,256611
100-4000 step=100 almost (+- 90% sort),mergeSort,3900,274864
100-4000 step=100 almost (+- 90% sort),mergeSort,4000,271975
100-4000 step=100 almost (+- 90% sort),mergeSort,4100,282005
100-4000 step=100 reverse,mergeSort,100,3572
100-4000 step=100 reverse,mergeSort,200,7730
100-4000 step=100 reverse,mergeSort,300,12568
100-4000 step=100 reverse,mergeSort,400,17060
100-4000 step=100 reverse,mergeSort,500,21667
100-4000 step=100 reverse,mergeSort,600,29365
100-4000 step=100 reverse,mergeSort,700,34741
100-4000 step=100 reverse,mergeSort,800,39965
100-4000 step=100 reverse,mergeSort,900,45358
100-4000 step=100 reverse,mergeSort,1000,50748
100-4000 step=100 reverse,mergeSort,1100,57001
100-4000 step=100 reverse,mergeSort,1200,63918
100-4000 step=100 reverse,mergeSort,1300,69900
100-4000 step=100 reverse,mergeSort,1400,77268
100-4000 step=100 reverse,mergeSort,1500,84726
100-4000 step=100 reverse,mergeSort,1600,85146
100-4000 step=100 reverse,mergeSort,1700,106289
100-4000 step=100 reverse,mergeSort,1800,104099
100-4000 step=100 reverse,mergeSort,1900,105300
100-4000 step=100 reverse,mergeSort,2000,110893
100-4000 step=100 reverse,mergeSort,2100,120090
100-4000 step=100 reverse,mergeSort,2200,126483
100-4000 step=100 reverse,mergeSort,2300,134039
100-4000 step=100 reverse,mergeSort,2400,137063
100-4000 step=100 reverse,mergeSort,2500,136510
100-4000 step=100 reverse,mergeSort,2600,141198
100-4000 step=100 reverse,mergeSort,2700,156788
100-4000 step=100 reverse,mergeSort,2800,161782
100-4000 step=100 reverse,mergeSort,2900,161878
100-4000 step=100 reverse,mergeSort,3000,170439
100-4000 step=100 reverse,mergeSort,3100,189569
100-4000 step=100 reverse,mergeSort,3200,186639
100-4000 step=100 reverse,mergeSort,3300,195505
100-4000 step=100 reverse,mergeSort,3400,200740
100-4000 step=100 reverse,mergeSort,3500,191747
100-4000 step=100 reverse,mergeSort,3600,198077
100-4000 step=100 reverse,mergeSort,3700,227798
100-4000 step=100 reverse,mergeSort,3800,232404
100-4000 step=100 reverse,mergeSort,3900,248558
100-4000 step=100 reverse,mergeSort,4000,252116
100-4000 step=100 reverse,mergeSort,4100,243081
50-300 step=50 x = 0...5,quickSort,50,1065
50-300 step=50 x = 0...5,quickSort,100,2547
50-300 step=50 x = 0...5,quickSort,150,4161
50-300 step=50 x = 0...5,quickSort,200,6002
50-300 step=50 x = 0...5,quickSort,250,7774
50-300 step=50 x = 0...5,quickSort,300,10908
50-300 step=50 x = 0...4000,quickSort,50,1076
50-300 step=50 x = 0...4000,quickSort,100,2449
50-300 step=50 x = 0...4000,quickSort,150,3968
50-300 step=50 x = 0...4000,quickSort,200,5612
50-300 step=50 x = 0...4000,quickSort,250,8009
50-300 step=50 x = 0...4000,quickSort,300,11736
50-300 step=50 almost (+- 90% sort),quickSort,50,1844
50-300 step=50 almost (+- 90% sort),quickSort,100,5956
50-300 step=50 almost (+- 90% sort),quickSort,150,11464
50-300 step=50 almost (+- 90% sort),quickSort,200,16829
50-300 step=50 almost (+- 90% sort),quickSort,250,22648
50-300 step=50 almost (+- 90% sort),quickSort,300,28435
50-300 step=50 reverse,quickSort,50,2015
50-300 step=50 reverse,quickSort,100,7401
50-300 step=50 reverse,quickSort,150,15707
50-300 step=50 reverse,quickSort,200,26902
50-300 step=50 reverse,quickSort,250,40989
50-300 step=50 reverse,quickSort,300,60693
100-4000 step=100 x = 0...5,quickSort,100,2737
100-4000 step=100 x = 0...5,quickSort,200,6429
100-4000 step=100 x = 0...5,quickSort,300,10416
100-4000 step=100 x = 0...5,quickSort,400,14698
100-4000 step=100 x = 0...5,quickSort,500,19268
100-4000 step=100 x = 0...5,quickSort,600,24343
100-4000 step=100 x = 0...5,quickSort,700,28825
100-4000 step=100 x = 0...5,quickSort,800,37979
100-4000 step=100 x = 0...5,quickSort,900,37101
100-4000 step=100 x = 0...5,quickSort,1000,42841
100-4000 step=100 x = 0...5,quickSort,1100,49952
100-4000 step=100 x = 0...5,quickSort,1200,55719
100-4000 step=100 x = 0...5,quickSort,1300,61221
100-4000 step=100 x = 0...5,quickSort,1400,72351
100-4000 step=100 x = 0...5,quickSort,1500,71948
100-4000 step=100 x = 0...5,quickSort,1600,75712
100-4000 step=100 x = 0...5,quickSort,1700,79577
100-4000 step=100 x = 0...5,quickSort,1800,89906
100-4000 step=100 x = 0...5,quickSort,1900,101359
100-4000 step=100 x = 0...5,quickSort,2000,98905
100-4000 step=100 x = 0...5,quickSort,2100,109647
100-4000 step=100 x = 0...5,quickSort,2200,116726
100-4000 step=100 x = 0...5,quickSort,2300,113252
100-4000 step=100 x = 0...5,quickSort,2400,125423
100-4000 step=100 x = 0...5,quickSort,2500,123417
100-4000 step=100 x = 0...5,quickSort,2600,143977
100-4000 step=100 x = 0...5,quickSort,2700,148564
100-4000 step=100 x = 0...5,quickSort,2800,148412
100-4000 step=100 x = 0...5,quickSort,2900,154954
100-4000 step=100 x = 0...5,quickSort,3000,158842
100-4000 step=100 x = 0...5,quickSort,3100,163672
100-4000 step=100 x = 0...5,quickSort,3200,172559
100-4000 step=100 x = 0...5,quickSort,3300,178727
100-4000 step=100 x = 0...5,quickSort,3400,176565
100-4000 step=100 x = 0...5,quickSort,3500,189349
100-4000 step=100 x = 0...5,quickSort,3600,202118
100-4000 step=100 x = 0...5,quickSort,3700,207130
100-4000 step=100 x = 0...5,quickSort,3800,214411
100-4000 step=100 x = 0...5,quickSort,3900,220369
100-4000 step=100 x = 0...5,quickSort,4000,228547
100-4000 step=100 x = 0...5,quickSort,4100,237890
100-4000 step=100 x = 0...4000,quickSort,100,2575
100-4000 step=100 x = 0...4000,quickSort,200,5962
100-4000 step=100 x = 0...4000,quickSort,300,11959
100-4000 step=100 x = 0...4000,quickSort,400,18881
100-4000 step=100 x = 0...4000,quickSort,500,26917
100-4000 step=100 x = 0...4000,quickSort,600,34512
100-4000 step=100 x = 0...4000,quickSort,700,44349
100-4000 step=100 x = 0...4000,quickSort,800,58881
100-4000 step=100 x = 0...4000,quickSort,900,57196
100-4000 step=100 x = 0...4000,quickSort,1000,64092
100-4000 step=100 x = 0...4000,quickSort,1100,73789
100-4000 step=100 x = 0...4000,quickSort,1200,87368
100-4000 step=100 x = 0...4000,quickSort,1300,96543
100-4000 step=100 x = 0...4000,quickSort,1400,103905
100-4000 step=100 x = 0...4000,quickSort,1500,115670
100-4000 step=100 x = 0...4000,quickSort,1600,115585
100-4000 step=100 x = 0...4000,quickSort,1700,126383
100-4000 step=100 x = 0...4000,quickSort,1800,143436
100-4000 step=100 x = 0...4000,quickSort,1900,155380
100-4000 step=100 x = 0...4000,quickSort,2000,153437
100-4000 step=100 x = 0...4000,quickSort,2100,174664
100-4000 step=100 x = 0...4000,quickSort,2200,182333
100-4000 step=100 x = 0...4000,quickSort,2300,180951
100-4000 step=100 x = 0...4000,quickSort,2400,202186
100-4000 step=100 x = 0...4000,quickSort,2500,198740
100-4000 step=100 x = 0...4000,quickSort,2600,227253
100-4000 step=100 x = 0...4000,quickSort,2700,223624
100-4000 step=100 x = 0...4000,quickSort,2800,248392
100-4000 step=100 x = 0...4000,quickSort,2900,245358
100-4000 step=100 x = 0...4000,quickSort,3000,265645
100-4000 step=100 x = 0...4000,quickSort,3100,280392
100-4000 step=100 x = 0...4000,quickSort,3200,281867
100-4000 step=100 x = 0...4000,quickSort,3300,287924
100-4000 step=100 x = 0...4000,quickSort,3400,307710
100-4000 step=100 x = 0...4000,quickSort,3500,310646
100-4000 step=100 x = 0...4000,quickSort,3600,317585
100-4000 step=100 x = 0...4000,quickSort,3700,333154
100-4000 step=100 x = 0...4000,quickSort,3800,343570
100-4000 step=100 x = 0...4000,quickSort,3900,355190
100-4000 step=100 x = 0...4000,quickSort,4000,363417
100-4000 step=100 x = 0...4000,quickSort,4100,370683
100-4000 step=100 almost (+- 90% sort),quickSort,100,6393
100-4000 step=100 almost (+- 90% sort),quickSort,200,18028
100-4000 step=100 almost (+- 90% sort),quickSort,300,29788
100-4000 step=100 almost (+- 90% sort),quickSort,400,42311
100-4000 step=100 almost (+- 90% sort),quickSort,500,69237
100-4000 step=100 almost (+- 90% sort),quickSort,600,49825
100-4000 step=100 almost (+- 90% sort),quickSort,700,54413
100-4000 step=100 almost (+- 90% sort),quickSort,800,60895
100-4000 step=100 almost (+- 90% sort),quickSort,900,67765
100-4000 step=100 almost (+- 90% sort),quickSort,1000,77660
100-4000 step=100 almost (+- 90% sort),quickSort,1100,88458
100-4000 step=100 almost (+- 90% sort),quickSort,1200,121776
100-4000 step=100 almost (+- 90% sort),quickSort,1300,134727
100-4000 step=100 almost (+- 90% sort),quickSort,1400,149433
100-4000 step=100 almost (+- 90% sort),quickSort,1500,175951
100-4000 step=100 almost (+- 90% sort),quickSort,1600,183746
100-4000 step=100 almost (+- 90% sort),quickSort,1700,199529
100-4000 step=100 almost (+- 90% sort),quickSort,1800,201820
100-4000 step=100 almost (+- 90% sort),quickSort,1900,263405
100-4000 step=100 almost (+- 90% sort),quickSort,2000,275712
100-4000 step=100 almost (+- 90% sort),quickSort,2100,323380
100-4000 step=100 almost (+- 90% sort),quickSort,2200,209114
100-4000 step=100 almost (+- 90% sort),quickSort,2300,257446
100-4000 step=100 almost (+- 90% sort),quickSort,2400,341724
100-4000 step=100 almost (+- 90% sort),quickSort,2500,237788
100-4000 step=100 almost (+- 90% sort),quickSort,2600,416380
100-4000 step=100 almost (+- 90% sort),quickSort,2700,381884
100-4000 step=100 almost (+- 90% sort),quickSort,2800,489906
100-4000 step=100 almost (+- 90% sort),quickSort,2900,265845
100-4000 step=100 almost (+- 90% sort),quickSort,3000,481036
100-4000 step=100 almost (+- 90% sort),quickSort,3100,313486
100-4000 step=100 almost (+- 90% sort),quickSort,3200,362903
100-4000 step=100 almost (+- 90% sort),quickSort,3300,308912
100-4000 step=100 almost (+- 90% sort),quickSort,3400,439560
100-4000 step=100 almost (+- 90% sort),quickSort,3500,330191
100-4000 step=100 almost (+- 90% sort),quickSort,3600,367958
100-4000 step=100 almost (+- 90% sort),quickSort,3700,395325
100-4000 step=100 almost (+- 90% sort),quickSort,3800,451444
100-4000 step=100 almost (+- 90% sort),quickSort,3900,408748
100-4000 step=100 almost (+- 90% sort),quickSort,4000,555974
100-4000 step=100 almost (+- 90% sort),quickSort,4100,727264
100-4000 step=100 reverse,quickSort,100,7959
100-4000 step=100 reverse,quickSort,200,28846
100-4000 step=100 reverse,quickSort,300,62194
100-4000 step=100 reverse,quickSort,400,111885
100-4000 step=100 reverse,quickSort,500,167068
100-4000 step=100 reverse,quickSort,600,242542
100-4000 step=100 reverse,quickSort,700,326189
100-4000 step=100 reverse,quickSort,800,424417
100-4000 step=100 reverse,quickSort,900,564920
100-4000 step=100 reverse,quickSort,1000,611220
100-4000 step=100 reverse,quickSort,1100,754878
100-4000 step=100 reverse,quickSort,1200,888223
100-4000 step=100 reverse,quickSort,1300,1088917
100-4000 step=100 reverse,quickSort,1400,1268614
100-4000 step=100 reverse,quickSort,1500,1439917
100-4000 step=100 reverse,quickSort,1600,1653644
100-4000 step=100 reverse,quickSort,1700,1808391
100-4000 step=100 reverse,quickSort,1800,2040250
100-4000 step=100 reverse,quickSort,1900,2359714
100-4000 step=100 reverse,quickSort,2000,2662430
100-4000 step=100 reverse,quickSort,2100,2833018
100-4000 step=100 reverse,quickSort,2200,3179037
100-4000 step=100 reverse,quickSort,2300,3414397
100-4000 step=100 reverse,quickSort,2400,3624891
100-4000 step=100 reverse,quickSort,2500,4014264
100-4000 step=100 reverse,quickSort,2600,4219380
100-4000 step=100 reverse,quickSort,2700,4733764
100-4000 step=100 reverse,quickSort,2800,4995606
100-4000 step=100 reverse,quickSort,2900,5300677
100-4000 step=100 reverse,quickSort,3000,5803743
100-4000 step=100 reverse,quickSort,3100,6023294
100-4000 step=100 reverse,quickSort,3200,6523402
100-4000 step=100 reverse,quickSort,3300,7161968
100-4000 step=100 reverse,quickSort,3400,7425536
100-4000 step=100 reverse,quickSort,3500,7679711
100-4000 step=100 reverse,quickSort,3600,8176296
100-4000 step=100 reverse,quickSort,3700,8663350
100-4000 step=100 reverse,quickSort,3800,9134830
100-4000 step=100 reverse,quickSort,3900,9724885
100-4000 step=100 reverse,quickSort,4000,10548759
100-4000 step=100 reverse,quickSort,4100,10674854
50-300 step=50 x = 0...5,heapSort,50,12193
50-300 step=50 x = 0...5,heapSort,100,24987
50-300 step=50 x = 0...5,heapSort,150,41471
50-300 step=50 x = 0...5,heapSort,200,60704
50-300 step=50 x = 0...5,heapSort,250,66182
50-300 step=50 x = 0...5,heapSort,300,87911
50-300 step=50 x = 0...4000,heapSort,50,15260
50-300 step=50 x = 0...4000,heapSort,100,26653
50-300 step=50 x = 0...4000,heapSort,150,42092
50-300 step=50 x = 0...4000,heapSort,200,57101
50-300 step=50 x = 0...4000,heapSort,250,72690
50-300 step=50 x = 0...4000,heapSort,300,90766
50-300 step=50 almost (+- 90% sort),heapSort,50,11912
50-300 step=50 almost (+- 90% sort),heapSort,100,24394
50-300 step=50 almost (+- 90% sort),heapSort,150,38097
50-300 step=50 almost (+- 90% sort),heapSort,200,51116
50-300 step=50 almost (+- 90% sort),heapSort,250,64459
50-300 step=50 almost (+- 90% sort),heapSort,300,81267
50-300 step=50 reverse,heapSort,50,14743
50-300 step=50 reverse,heapSort,100,31419
50-300 step=50 reverse,heapSort,150,52064
50-300 step=50 reverse,heapSort,200,72894
50-300 step=50 reverse,heapSort,250,87786
50-300 step=50 reverse,heapSort,300,109538
100-4000 step=100 x = 0...5,heapSort,100,25201
100-4000 step=100 x = 0...5,heapSort,200,52585
100-4000 step=100 x = 0...5,heapSort,300,87984
100-4000 step=100 x = 0...5,heapSort,400,117048
100-4000 step=100 x = 0...5,heapSort,500,132297
100-4000 step=100 x = 0...5,heapSort,600,173780
100-4000 step=100 x = 0...5,heapSort,700,200201
100-4000 step=100 x = 0...5,heapSort,800,222802
100-4000 step=100 x = 0...5,heapSort,900,256185
100-4000 step=100 x = 0...5,heapSort,1000,296274
100-4000 step=100 x = 0...5,heapSort,1100,341190
100-4000 step=100 x = 0...5,heapSort,1200,384690
100-4000 step=100 x = 0...5,heapSort,1300,410479
100-4000 step=100 x = 0...5,heapSort,1400,423466
100-4000 step=100 x = 0...5,heapSort,1500,453833
100-4000 step=100 x = 0...5,heapSort,1600,491734
100-4000 step=100 x = 0...5,heapSort,1700,529074
100-4000 step=100 x = 0...5,heapSort,1800,544034
100-4000 step=100 x = 0...5,heapSort,1900,586567
100-4000 step=100 x = 0...5,heapSort,2000,612767
100-4000 step=100 x = 0...5,heapSort,2100,651600
100-4000 step=100 x = 0...5,heapSort,2200,693922
100-4000 step=100 x = 0...5,heapSort,2300,732537
100-4000 step=100 x = 0...5,heapSort,2400,755426
100-4000 step=100 x = 0...5,heapSort,2500,794977
100-4000 step=100 x = 0...5,heapSort,2600,836379
100-4000 step=100 x = 0...5,heapSort,2700,838669
100-4000 step=100 x = 0...5,heapSort,2800,901710
100-4000 step=100 x = 0...5,heapSort,2900,921085
100-4000 step=100 x = 0...5,heapSort,3000,972531
100-4000 step=100 x = 0...5,heapSort,3100,1022424
100-4000 step=100 x = 0...5,heapSort,3200,1041834
100-4000 step=100 x = 0...5,heapSort,3300,1116406
100-4000 step=100 x = 0...5,heapSort,3400,1105465
100-4000 step=100 x = 0...5,heapSort,3500,1133521
100-4000 step=100 x = 0...5,heapSort,3600,1184062
100-4000 step=100 x = 0...5,heapSort,3700,1186421
100-4000 step=100 x = 0...5,heapSort,3800,1242008
100-4000 step=100 x = 0...5,heapSort,3900,1295460
100-4000 step=100 x = 0...5,heapSort,4000,1308413
100-4000 step=100 x = 0...5,heapSort,4100,1380061
100-4000 step=100 x = 0...4000,heapSort,100,26706
100-4000 step=100 x = 0...4000,heapSort,200,57881
100-4000 step=100 x = 0...4000,heapSort,300,90603
100-4000 step=100 x = 0...4000,heapSort,400,125073
100-4000 step=100 x = 0...4000,heapSort,500,204580
100-4000 step=100 x = 0...4000,heapSort,600,185850
100-4000 step=100 x = 0...4000,heapSort,700,220586
100-4000 step=100 x = 0...4000,heapSort,800,256625
100-4000 step=100 x = 0...4000,heapSort,900,291278
100-4000 step=100 x = 0...4000,heapSort,1000,338896
100-4000 step=100 x = 0...4000,heapSort,1100,392545
100-4000 step=100 x = 0...4000,heapSort,1200,444564
100-4000 step=100 x = 0...4000,heapSort,1300,498675
100-4000 step=100 x = 0...4000,heapSort,1400,518058
100-4000 step=100 x = 0...4000,heapSort,1500,524464
100-4000 step=100 x = 0...4000,heapSort,1600,582917
100-4000 step=100 x = 0...4000,heapSort,1700,614380
100-4000 step=100 x = 0...4000,heapSort,1800,638463
100-4000 step=100 x = 0...4000,heapSort,1900,680792
100-4000 step=100 x = 0...4000,heapSort,2000,731341
100-4000 step=100 x = 0...4000,heapSort,2100,808691
100-4000 step=100 x = 0...4000,heapSort,2200,807331
100-4000 step=100 x = 0...4000,heapSort,2300,867660
100-4000 step=100 x = 0...4000,heapSort,2400,929417
100-4000 step=100 x = 0...4000,heapSort,2500,924544
100-4000 step=100 x = 0...4000,heapSort,2600,985324
100-4000 step=100 x = 0...4000,heapSort,2700,954772
100-4000 step=100 x = 0...4000,heapSort,2800,1057100
100-4000 step=100 x = 0...4000,heapSort,2900,1137676
100-4000 step=100 x = 0...4000,heapSort,3000,1131590
100-4000 step=100 x = 0...4000,heapSort,3100,1193076
100-4000 step=100 x = 0...4000,heapSort,3200,1190944
100-4000 step=100 x = 0...4000,heapSort,3300,1274004
100-4000 step=100 x = 0...4000,heapSort,3400,1292459
100-4000 step=100 x = 0...4000,heapSort,3500,1367452
100-4000 step=100 x = 0...4000,heapSort,3600,1381612
100-4000 step=100 x = 0...4000,heapSort,3700,1437478
100-4000 step=100 x = 0...4000,heapSort,3800,1483778
100-4000 step=100 x = 0...4000,heapSort,3900,1485767
100-4000 step=100 x = 0...4000,heapSort,4000,1584047
100-4000 step=100 x = 0...4000,heapSort,4100,1619616
100-4000 step=100 almost (+- 90% sort),heapSort,100,24386
100-4000 step=100 almost (+- 90% sort),heapSort,200,52335
100-4000 step=100 almost (+- 90% sort),heapSort,300,82430
100-4000 step=100 almost (+- 90% sort),heapSort,400,109045
100-4000 step=100 almost (+- 90% sort),heapSort,500,137926
100-4000 step=100 almost (+- 90% sort),heapSort,600,162015
100-4000 step=100 almost (+- 90% sort),heapSort,700,194710
100-4000 step=100 almost (+- 90% sort),heapSort,800,225922
100-4000 step=100 almost (+- 90% sort),heapSort,900,257066
100-4000 step=100 almost (+- 90% sort),heapSort,1000,295258
100-4000 step=100 almost (+- 90% sort),heapSort,1100,346843
100-4000 step=100 almost (+- 90% sort),heapSort,1200,376766
100-4000 step=100 almost (+- 90% sort),heapSort,1300,419316
100-4000 step=100 almost (+- 90% sort),heapSort,1400,453268
100-4000 step=100 almost (+- 90% sort),heapSort,1500,463206
100-4000 step=100 almost (+- 90% sort),heapSort,1600,505461
100-4000 step=100 almost (+- 90% sort),heapSort,1700,538745
100-4000 step=100 almost (+- 90% sort),heapSort,1800,564277
100-4000 step=100 almost (+- 90% sort),heapSort,1900,594965
100-4000 step=100 almost (+- 90% sort),heapSort,2000,644429
100-4000 step=100 almost (+- 90% sort),heapSort,2100,699928
100-4000 step=100 almost (+- 90% sort),heapSort,2200,710614
100-4000 step=100 almost (+- 90% sort),heapSort,2300,763769
100-4000 step=100 almost (+- 90% sort),heapSort,2400,795696
100-4000 step=100 almost (+- 90% sort),heapSort,2500,799667
100-4000 step=100 almost (+- 90% sort),heapSort,2600,871164
100-4000 step=100 almost (+- 90% sort),heapSort,2700,871337
100-4000 step=100 almost (+- 90% sort),heapSort,2800,910640
100-4000 step=100 almost (+- 90% sort),heapSort,2900,965983
100-4000 step=100 almost (+- 90% sort),heapSort,3000,974853
100-4000 step=100 almost (+- 90% sort),heapSort,3100,1046942
100-4000 step=100 almost (+- 90% sort),heapSort,3200,1045741
100-4000 step=100 almost (+- 90% sort),heapSort,3300,1107846
100-4000 step=100 almost (+- 90% sort),heapSort,3400,1102333
100-4000 step=100 almost (+- 90% sort),heapSort,3500,1185258
100-4000 step=100 almost (+- 90% sort),heapSort,3600,1175856
100-4000 step=100 almost (+- 90% sort),heapSort,3700,1255943
100-4000 step=100 almost (+- 90% sort),heapSort,3800,1279609
100-4000 step=100 almost (+- 90% sort),heapSort,3900,1338441
100-4000 step=100 almost (+- 90% sort),heapSort,4000,1404503
100-4000 step=100 almost (+- 90% sort),heapSort,4100,1392896
100-4000 step=100 reverse,heapSort,100,35110
100-4000 step=100 reverse,heapSort,200,68553
100-4000 step=100 reverse,heapSort,300,112595
100-4000 step=100 reverse,heapSort,400,153779
100-4000 step=100 reverse,heapSort,500,189583
100-4000 step=100 reverse,heapSort,600,231133
100-4000 step=100 reverse,heapSort,700,273777
100-4000 step=100 reverse,heapSort,800,327472
100-4000 step=100 reverse,heapSort,900,360988
100-4000 step=100 reverse,heapSort,1000,413852
100-4000 step=100 reverse,heapSort,1100,472864
100-4000 step=100 reverse,heapSort,1200,533908
100-4000 step=100 reverse,heapSort,1300,599321
100-4000 step=100 reverse,heapSort,1400,644043
100-4000 step=100 reverse,heapSort,1500,660773
100-4000 step=100 reverse,heapSort,1600,714377
100-4000 step=100 reverse,heapSort,1700,773467
100-4000 step=100 reverse,heapSort,1800,848262
100-4000 step=100 reverse,heapSort,1900,844689
100-4000 step=100 reverse,heapSort,2000,913920
100-4000 step=100 reverse,heapSort,2100,979748
